timestamp,symbol,underlying_price,put_wall,call_wall,max_pain,iv,put_oi,call_oi,expiry
2026-06-01T13:30:25.683202-04:00,QQQ,743.7,724.0,750.0,732.99,3.03,211665,111940,2026-06-01
2026-06-02T09:30:34.482869-04:00,QQQ,741.61,710.0,739.0,717.81,0.74,273205,100696,2026-06-02
